category,asset_id,asset_name,element,game_id,file,size_px,source_file,source_bbox_xyxy,code_entry,usage,status,note,variants
monster,monster_001_fire_lizard,小火龙/火系初始怪,fire,monster_001,美术开发/正式拆分/monsters/monster_001_fire_lizard_battle.png,1082x1082,美术开发/元素提取/image2_source/monster_fire_lizard_source.png,,js/battle/monsterData.js,怪物战斗立绘/图鉴立绘/队伍卡头像源,image2_extracted_alpha_v1,image-2根据概念图重绘提取，已透明化；建议后续补idle/attack/hit序列帧。,美术开发/正式拆分/monsters/monster_001_fire_lizard_battle_512.png;美术开发/正式拆分/monsters/monster_001_fire_lizard_battle_256.png;美术开发/正式拆分/monsters/monster_001_fire_lizard_battle_128.png
monster,monster_002_water_cub,水龟仔/水系初始怪,water,monster_002,美术开发/正式拆分/monsters/monster_002_water_cub_battle.png,1014x1014,美术开发/元素提取/image2_source/monster_water_cub_source.png,,js/battle/monsterData.js,怪物战斗立绘/图鉴立绘/队伍卡头像源,image2_extracted_alpha_v1,image-2根据概念图重绘提取，已透明化；建议后续补idle/attack/hit序列帧。,美术开发/正式拆分/monsters/monster_002_water_cub_battle_512.png;美术开发/正式拆分/monsters/monster_002_water_cub_battle_256.png;美术开发/正式拆分/monsters/monster_002_water_cub_battle_128.png
monster,monster_003_grass_leaf,草苗儿/草系初始怪,grass,monster_003,美术开发/正式拆分/monsters/monster_003_grass_leaf_battle.png,1024x1024,美术开发/元素提取/image2_source/monster_grass_leaf_source.png,,js/battle/monsterData.js,怪物战斗立绘/图鉴立绘/队伍卡头像源,image2_extracted_alpha_v1,image-2根据概念图重绘提取，已透明化；建议后续补idle/attack/hit序列帧。,美术开发/正式拆分/monsters/monster_003_grass_leaf_battle_512.png;美术开发/正式拆分/monsters/monster_003_grass_leaf_battle_256.png;美术开发/正式拆分/monsters/monster_003_grass_leaf_battle_128.png
gem,gem_fire,火宝石,fire,GEM_TYPES fire,美术开发/正式拆分/gems/gem_fire.png,309x309,美术开发/元素提取/image2_source/gems_element_sheet_source.png,"83,230,368,539",js/match3/board.js,三消棋盘普通宝石sprite,image2_extracted_alpha_v1,替换GEM_EMOJI；运行时建议绘制为cellSize内80%-90%。,美术开发/正式拆分/gems/gem_fire_256.png;美术开发/正式拆分/gems/gem_fire_128.png;美术开发/正式拆分/gems/gem_fire_96.png
gem,gem_water,水宝石,water,GEM_TYPES water,美术开发/正式拆分/gems/gem_water.png,299x299,美术开发/元素提取/image2_source/gems_element_sheet_source.png,"475,235,755,534",js/match3/board.js,三消棋盘普通宝石sprite,image2_extracted_alpha_v1,替换GEM_EMOJI；运行时建议绘制为cellSize内80%-90%。,美术开发/正式拆分/gems/gem_water_256.png;美术开发/正式拆分/gems/gem_water_128.png;美术开发/正式拆分/gems/gem_water_96.png
gem,gem_grass,草宝石,grass,GEM_TYPES grass,美术开发/正式拆分/gems/gem_grass.png,304x304,美术开发/元素提取/image2_source/gems_element_sheet_source.png,"853,234,1141,538",js/match3/board.js,三消棋盘普通宝石sprite,image2_extracted_alpha_v1,替换GEM_EMOJI；运行时建议绘制为cellSize内80%-90%。,美术开发/正式拆分/gems/gem_grass_256.png;美术开发/正式拆分/gems/gem_grass_128.png;美术开发/正式拆分/gems/gem_grass_96.png
gem,gem_thunder,雷宝石,thunder,GEM_TYPES thunder,美术开发/正式拆分/gems/gem_thunder.png,301x301,美术开发/元素提取/image2_source/gems_element_sheet_source.png,"1237,240,1532,541",js/match3/board.js,三消棋盘普通宝石sprite,image2_extracted_alpha_v1,替换GEM_EMOJI；运行时建议绘制为cellSize内80%-90%。,美术开发/正式拆分/gems/gem_thunder_256.png;美术开发/正式拆分/gems/gem_thunder_128.png;美术开发/正式拆分/gems/gem_thunder_96.png
gem,gem_light,光宝石,light,GEM_TYPES light,美术开发/正式拆分/gems/gem_light.png,300x300,美术开发/元素提取/image2_source/gems_element_sheet_source.png,"1626,240,1909,540",js/match3/board.js,三消棋盘普通宝石sprite,image2_extracted_alpha_v1,替换GEM_EMOJI；运行时建议绘制为cellSize内80%-90%。,美术开发/正式拆分/gems/gem_light_256.png;美术开发/正式拆分/gems/gem_light_128.png;美术开发/正式拆分/gems/gem_light_96.png
gem,gem_locked_tile,锁定宝石底,none,Board lockedGems,美术开发/正式拆分/gems/gem_locked_tile.png,365x365,美术开发/元素提取/image2_source/gems_obstacle_sheet_source.png,"94,246,440,611",js/match3/board.js,棋盘特殊格/障碍物/特殊宝石sprite,image2_extracted_alpha_v1,透明独立资产；锁定层建议作为叠加层覆盖普通宝石。,美术开发/正式拆分/gems/gem_locked_tile_256.png;美术开发/正式拆分/gems/gem_locked_tile_128.png;美术开发/正式拆分/gems/gem_locked_tile_96.png
gem,obstacle_rock_full,石块障碍完整,none,Board obstacles hp=2,美术开发/正式拆分/gems/obstacle_rock_full.png,370x370,美术开发/元素提取/image2_source/gems_obstacle_sheet_source.png,"512,241,876,611",js/match3/board.js,棋盘特殊格/障碍物/特殊宝石sprite,image2_extracted_alpha_v1,透明独立资产；锁定层建议作为叠加层覆盖普通宝石。,美术开发/正式拆分/gems/obstacle_rock_full_256.png;美术开发/正式拆分/gems/obstacle_rock_full_128.png;美术开发/正式拆分/gems/obstacle_rock_full_96.png
gem,obstacle_rock_cracked,石块障碍破损,none,Board obstacles hp=1,美术开发/正式拆分/gems/obstacle_rock_cracked.png,371x371,美术开发/元素提取/image2_source/gems_obstacle_sheet_source.png,"941,240,1304,611",js/match3/board.js,棋盘特殊格/障碍物/特殊宝石sprite,image2_extracted_alpha_v1,透明独立资产；锁定层建议作为叠加层覆盖普通宝石。,美术开发/正式拆分/gems/obstacle_rock_cracked_256.png;美术开发/正式拆分/gems/obstacle_rock_cracked_128.png;美术开发/正式拆分/gems/obstacle_rock_cracked_96.png
gem,gem_rainbow_special,彩虹特殊宝石,rainbow,enhanced/special gem,美术开发/正式拆分/gems/gem_rainbow_special.png,387x387,美术开发/元素提取/image2_source/gems_obstacle_sheet_source.png,"1376,242,1698,629",js/match3/board.js,棋盘特殊格/障碍物/特殊宝石sprite,image2_extracted_alpha_v1,透明独立资产；锁定层建议作为叠加层覆盖普通宝石。,美术开发/正式拆分/gems/gem_rainbow_special_256.png;美术开发/正式拆分/gems/gem_rainbow_special_128.png;美术开发/正式拆分/gems/gem_rainbow_special_96.png
ui,ui_btn_blue_primary,蓝色主按钮底,ui,ui_btn_blue_primary,美术开发/正式拆分/ui/ui_btn_blue_primary.png,467x184,美术开发/元素提取/image2_source/ui_component_sheet_source.png,"35,185,505,375",THEME.buttons.primary / sceneStart / sceneMain,通用主按钮 normal,image2_extracted_alpha_v1,UI组件已去绿幕；正式接入建议进一步拆九宫格和normal/pressed/disabled状态。,
ui,ui_btn_gold_action,金色行动按钮底,ui,ui_btn_gold_action,美术开发/正式拆分/ui/ui_btn_gold_action.png,467x184,美术开发/元素提取/image2_source/ui_component_sheet_source.png,"545,185,1030,375",sceneTeamSetup / sceneEvolve / sceneResult,保存/进化/确认按钮,image2_extracted_alpha_v1,UI组件已去绿幕；正式接入建议进一步拆九宫格和normal/pressed/disabled状态。,
ui,ui_panel_dark_large,深蓝大面板,ui,ui_panel_dark_large,美术开发/正式拆分/ui/ui_panel_dark_large.png,412x301,美术开发/元素提取/image2_source/ui_component_sheet_source.png,"1080,120,1510,430",THEME.colors.bgCard/bgPanel,通用面板背景,image2_extracted_alpha_v1,UI组件已去绿幕；正式接入建议进一步拆九宫格和normal/pressed/disabled状态。,
ui,ui_icon_frame_square,方形图标框,ui,ui_icon_frame_square,美术开发/正式拆分/ui/ui_icon_frame_square.png,235x236,美术开发/元素提取/image2_source/ui_component_sheet_source.png,"35,610,290,855",sceneMain / sceneShop / sceneSettings,底部导航/图标按钮,image2_extracted_alpha_v1,UI组件已去绿幕；正式接入建议进一步拆九宫格和normal/pressed/disabled状态。,
ui,ui_monster_card_frame,怪物卡框,ui,ui_monster_card_frame,美术开发/正式拆分/ui/ui_monster_card_frame.png,317x374,美术开发/元素提取/image2_source/ui_component_sheet_source.png,"300,515,635,900",sceneAlbum / sceneTeamSetup,图鉴/队伍怪物卡,image2_extracted_alpha_v1,UI组件已去绿幕；正式接入建议进一步拆九宫格和normal/pressed/disabled状态。,
ui,ui_header_bar,顶部标题条,ui,ui_header_bar,美术开发/正式拆分/ui/ui_header_bar.png,595x165,美术开发/元素提取/image2_source/ui_component_sheet_source.png,"650,535,1245,705",sceneStageSelect / sceneBattle,标题栏/章节栏,image2_extracted_alpha_v1,UI组件已去绿幕；正式接入建议进一步拆九宫格和normal/pressed/disabled状态。,
ui,ui_hp_bar_green,HP条组件,ui,ui_hp_bar_green,美术开发/正式拆分/ui/ui_hp_bar_green.png,583x117,美术开发/元素提取/image2_source/ui_component_sheet_source.png,"660,740,1265,865",sceneBattle / sceneTeamSetup,HP/经验/技能充能条,image2_extracted_alpha_v1,UI组件已去绿幕；正式接入建议进一步拆九宫格和normal/pressed/disabled状态。,
ui,ui_reward_slot_frame,奖励槽框,ui,ui_reward_slot_frame,美术开发/正式拆分/ui/ui_reward_slot_frame.png,206x241,美术开发/元素提取/image2_source/ui_component_sheet_source.png,"1270,610,1485,855",sceneResult / sceneInventory / sceneShop,奖励/物品格,image2_extracted_alpha_v1,UI组件已去绿幕；正式接入建议进一步拆九宫格和normal/pressed/disabled状态。,
