module,module_id,asset_id,asset_name,source_concept,source_bbox_xywh,output_file,size_px,game_usage,code_entry,status,note
启动欢迎页,01_start_screen,start_bg_full,全屏启动页背景参考,美术开发/概念图/01_启动欢迎页_start_screen.png,"0,0,941,1672",美术开发/资产拆分/01_start_screen/01_start_bg_full.png,941x1672,启动页整屏背景/气氛参考,js/ui/sceneStart.js,concept_crop_v1,可作为重绘背景或首屏静态底图
启动欢迎页,01_start_screen,start_logo_title,标题Logo区,美术开发/概念图/01_启动欢迎页_start_screen.png,"70,55,805,470",美术开发/资产拆分/01_start_screen/02_start_logo_title.png,805x470,标题/Logo,js/ui/sceneStart.js,concept_crop_v1,后续建议重绘为透明PNG或矢量化字形
启动欢迎页,01_start_screen,start_monster_trio,三只初始怪物组合,美术开发/概念图/01_启动欢迎页_start_screen.png,"70,640,825,430",美术开发/资产拆分/01_start_screen/03_start_monster_trio.png,825x430,初始怪物展示,js/ui/sceneStart.js,concept_crop_v1,拆正式资源时再分火/水/草三只透明立绘
启动欢迎页,01_start_screen,start_element_gems,五元素宝石组合,美术开发/概念图/01_启动欢迎页_start_screen.png,"245,1000,450,240",美术开发/资产拆分/01_start_screen/04_start_element_gems.png,450x240,三消元素展示,js/ui/sceneStart.js,concept_crop_v1,和board宝石资源保持同一造型
启动欢迎页,01_start_screen,start_primary_button,开始冒险主按钮,美术开发/概念图/01_启动欢迎页_start_screen.png,"185,1300,575,175",美术开发/资产拆分/01_start_screen/05_start_primary_button.png,575x175,进入游戏按钮,js/ui/sceneStart.js,concept_crop_v1,可拆九宫格按钮底+文字层
启动欢迎页,01_start_screen,start_bottom_version_panel,底部版本栏,美术开发/概念图/01_启动欢迎页_start_screen.png,"0,1510,941,162",美术开发/资产拆分/01_start_screen/06_start_bottom_version_panel.png,941x162,版本信息/装饰底栏,js/ui/sceneStart.js,concept_crop_v1,可复用为深色底部装饰条
主界面,02_main_lobby,main_top_player_bar,顶部玩家信息栏,美术开发/概念图/02_主界面_main_lobby.png,"20,15,900,185",美术开发/资产拆分/02_main_lobby/01_main_top_player_bar.png,900x185,玩家头像/等级/货币区,js/ui/sceneMain.js,concept_crop_v1,对应SceneMain信息栏，可拆头像框/经验条/货币按钮
主界面,02_main_lobby,main_card_adventure,冒险入口卡片,美术开发/概念图/02_主界面_main_lobby.png,"30,270,420,365",美术开发/资产拆分/02_main_lobby/02_main_card_adventure.png,420x365,开始冒险按钮,js/ui/sceneMain.js,concept_crop_v1,sceneMain start按钮视觉升级
主界面,02_main_lobby,main_card_team,队伍编成卡片,美术开发/概念图/02_主界面_main_lobby.png,"470,270,435,365",美术开发/资产拆分/02_main_lobby/03_main_card_team.png,435x365,队伍编成入口,js/ui/sceneMain.js,concept_crop_v1,sceneMain team按钮视觉升级
主界面,02_main_lobby,main_card_album,怪物图鉴卡片,美术开发/概念图/02_主界面_main_lobby.png,"30,645,420,365",美术开发/资产拆分/02_main_lobby/04_main_card_album.png,420x365,怪物图鉴入口,js/ui/sceneMain.js,concept_crop_v1,sceneMain album按钮视觉升级
