优先级,模块,对应文件,当前美术状态,替换目标,主要资产拆分类型,建议运行时路径,备注
P0,开始界面,js/ui/sceneStart.js,已接入图片资产,保持并后续精修,"背景;Logo;开始按钮;展示怪物;宝石装饰",assets/images/start/,已完成第一版代入
P0,战斗界面,js/ui/sceneBattle.js,已接入核心资产但局部仍为 emoji,补齐技能/状态/血条/全怪物立绘,"战斗背景;怪物;宝石;障碍;状态图标;技能特效;血条UI",assets/images/battle/,已完成第一版代入仍需二阶段精修
P1,主界面/大厅,js/ui/sceneMain.js,已完成第一版图片资产代入,后续精修队伍展示条/活动入口,"大厅背景;玩家头像框;货币栏;主功能入口;底部功能图标;队伍展示条",assets/images/main/,已完成大厅入口按钮替换
P1,关卡选择,js/ui/sceneStageSelect.js,已完成第一版地图式图片资产代入,后续精修多章节地图/BOSS立绘,"章节地图背景;关卡节点;锁定节点;星级;扫荡按钮;奖励图标",assets/images/stage/,已按概念图改为路径节点式关卡地图
P1,战斗准备,js/ui/sceneBattlePrepare.js,未替换队伍和敌人仍为 emoji,替换为战前阵容确认页,"队伍槽;怪物头像;敌人预览卡;战力对比面板;开始战斗按钮",assets/images/battle_prepare/,可复用战斗怪物和UI面板
P1,战斗结算,js/ui/sceneResult.js,未替换胜负奖励升级表现仍为 emoji,替换为胜负结算页,"胜利失败标题;星星;金币经验道具图标;奖励栏;升级箭头;按钮",assets/images/result/,影响战斗闭环反馈
P2,队伍编成,js/ui/sceneTeamSetup.js,未替换队伍槽和怪物列表仍为 emoji,替换为正式养成队伍页,"队长槽;成员槽;怪物卡;属性角标;性格标签;确认取消按钮",assets/images/team/,可复用怪物头像资产
P2,怪物图鉴,js/ui/sceneAlbum.js,未替换图鉴格和详情仍为 emoji,替换为收藏图鉴页,"图鉴卡框;锁定遮罩;怪物头像;属性标签;详情面板;稀有度标识",assets/images/album/,需要建立怪物头像通用规范
P2,怪物进化,js/ui/sceneEvolve.js,未替换进化流程仍为 emoji/文字粒子,替换为进化仪式界面,"进化背景;前后怪物立绘;进化箭头;材料图标;进化按钮;光效序列",assets/images/evolve/,建议在队伍图鉴后做
P2,牧场,js/ui/sceneRanch.js,未替换放置槽和怪物收益仍为 emoji,替换为怪物放置收益页,"牧场背景;放置槽;怪物小头像;收益图标;状态标识;收获按钮",assets/images/ranch/,养成循环
P3,背包,js/ui/sceneInventory.js,未替换道具/货币仍为 emoji,替换为道具管理页,"背包格子;分类标签;道具图标;货币图标;详情弹窗;使用按钮",assets/images/inventory/,需要通用道具图标体系
P3,商店,js/ui/sceneShop.js,未替换商品和货币仍为 emoji,替换为商店购买页,"商店背景;商品卡;金币钻石图标;购买按钮;确认弹窗;限购标识",assets/images/shop/,与背包共享道具货币
P3,每日签到,js/ui/sceneSignIn.js,未替换签到日历和奖励仍为 emoji,替换为签到奖励页,"签到日历格;今日高亮;已领印章;奖励图标;领取按钮",assets/images/signin/,可复用奖励图标
P3,成就,js/ui/sceneAchievement.js,未替换成就标题和奖励仍为 emoji,替换为成就列表页,"成就徽章;进度条;奖励图标;完成印章;分类标签",assets/images/achievement/,可复用奖励和徽章资产
P4,设置,js/ui/sceneSettings.js,未替换纯 Canvas UI,替换为统一设置 UI,"设置面板;开关;滑杆;按钮;返回图标",assets/images/settings/,低频功能页
P4,新手教程,js/ui/sceneTutorial.js,未接入图片资源,替换为引导层与教学手势,"引导手;提示框;遮罩高亮;步骤箭头;宝石提示图标",assets/images/tutorial/,依赖其他界面资产稳定后再做
